Sentence,Sign Language
"ඔවුන් බස් රථයට පයින් යන අතර, ඔවුන් එහි ඉන්නවා","ඔවුන් බස් රථයට පයින් යනවා, ඔවුන් ඒ ඉන්නවා"
"මම මේස් අඳිනවා, නමුත් මම ඒවා පසුව මාරු කරනවා",මම මේස් අඳිනවා නමුත් මම ඒවා පස්සේ මාරුකරනවා
බබා අත්පුඩි ගසනවා සමග ඇය හයියෙන් සිනාසෙනවා,බබා අත්පුඩිගසනවා සමග ඇය හයියෙන් සිනාසෙනවා
අපි ගුවන් විදුලියට සවන් දෙනවා සමග අපි ගායනා කරනවා,අපි ගුවන්විදුලිය සවන්දෙනවා සමග අපි ගායනාකරනවා
ඔහු බසයක නැඟී පොතක් කියවයි,ඔහු බසයක නගිනවා පොතබලනවා
ඇය බල්ලාට කෑම දෙනවිට ඇය ඌව හුරතල් කරනවා,ඇය බල්ලාට කෑමදෙනවා ඇය ඌ හුරතල්කරනවා
ඔවුන් කතන්දර කියලා නින්දට යනවා,ඔවුන් කතන්දරකියනවා නිදාගන්නවා
"මම කිරි බොන විට, මට ශක්තිමත් බවක් දැනෙනවා","මම කිරි බොනවා, මට ශක්තිමත්"
"අපි පුස්තකාලයට යන අතරතුර, පොත් කියවනවා",අපි පුස්තකාලය යනවා පොතබලනවා
"මම අත් සෝදා ගත්තොත්, මම පිරිසිදුව ඉන්නවා","මම අත් සෝදාගන්නවා, මම පිරිසිදු ඉන්නවා"
"ඇය සටහන් ලියන නිසා, ඇයට කාර්යයන් මතකයි",ඇය සටහන් ලියනවා ඇය වැඩ මතක
"අපි ක්‍රීඩා කරන නිසා, අපි විනෝද වෙනවා",අපි ක්‍රීඩා කරනවා අපි විනෝදවෙනවා
"ඔවුන් බස් රථයට පයින් ගියොත්, ඔවුන් වේලාසනින් පැමිණෙනවා",ඔවුන් බස්රථය පයින්යනවා ඔවුන් කලින් එනවා
"බබා අත්පුඩි ගසන විට, සියල්ලෝම සිනාසෙනවා",බබා අත්පුඩිගසනවා සියල්ලෝ සිනාසෙනවා
"මම ඇපල් ගෙඩියක් කන අතරතුර, මම පොතක් කියවනවා","මම ඇපල් ගෙඩිය කනවා අතරතුර, මම පොතබලනවා"
"ඔහු බස් රථයක ගියහොත්, ඔහු කාලය ඉතිරි වෙනවා",ඔහු බස්රථය යනවා ඔහු කාලය ඉතිරිවෙනවා
"කුරුල්ලා පියාසර කළත්, ආපසු නිවසට පැමිණේ",කුරුල්ලා පියාඹනවා ආපසු නිවස එනවා
"ඔවුන් කතන්දර කියෙව්වොත්, ඔවුන් හොඳින් නිදාගන්නවා",ඔවුන් කතන්දර කියනවා ඔවුන් හොඳි නිදාගන්නවා
"අපි උද්‍යානයට ගිය විට, අපි ක්‍රීඩා කරනවා",අපි උද්‍යානය යනවා අපි ක්‍රීඩාකරනවා
"මම ඔරලෝසුවක් දාගෙන ඉන්න නිසා, මම වෙලාවට වැඩ කරනවා",මම ඔරලෝසුව ඉන්නවා මම වෙලාව වැඩකරනවා
"බබා සෙල්ලම් කරන නිසා, ඇය සතුටින් ඉන්නවා",බබා සෙල්ලම්කරනවා ඇය සතුට ඉන්නවා
මම සපත්තු මදින නිසා ඒවා පිරිසිදුව පේනවා,මම සපත්තුමදිනවා ඒ පිරිසිදු පේනවා
ඔහු දැන් පුවත්පතක් කියවනවාද?,ඔහු දැන් පුවත්පත පොතබලනවා ද
අපි අද පුස්තකාලයට යමුද?,අපි අද පුස්තකාලය යමු ද
අද හවස එයාලා බයිසිකල් පදිනවද?,අද හවස ඔවුන් බයිසිකලය පදිනවා ද
ඔබ රාත්‍රී ආහාරයට පෙර අත් සෝදනවාද?,ඔබ රෑ කෑම කලින් අත් සෝදනවා ද
ඇය ඇගේ සටහන් පොතේ සටහන් ලියනවාද?,ඇය ඇගේ සටහන්පොත සටහන්ලියනවා ද
පූසා මේසය උඩට පනිනවාද?,පූසා මේසය උඩ පනිනවා ද
ඔවුන් දිනපතා බස් නැවතුම්පොළට පයින් යනවාද?,ඔවුන් දිනපතා බස්නැවතුම්පොළ පයින්යනවා ද
ඔයා අද මේස් දාගෙනද ඉන්නේ?,ඔයා අද මේස්දානවා ඉන්නවා ද
බබා අත්පුඩි ගහනවද?,බබා අත්පුඩිගහනවා ද
අපි දැන් ගුවන් විදුලියට සවන් දෙනවාද,අපි දැන් ගුවන්විදුලිය සවන්දෙනවා ද
එයා ඉස්කෝලෙට බස් එකේ යනවද?,එයා පාසල බසය යනවා ද
කුරුල්ලා ගසට පියාඹනවාද?,කුරුල්ලා ගස පියාඹනවා ද
ඇය සෑම සවසකම බල්ලාට කෑම දෙනවද,ඇය සෑම හවස බල්ලා කෑමදෙනවා ද
මේ සෙනසුරාදා අපි ඇඳුම් ගන්න යනවද,මේ සෙනසුරාදා අපි ඇඳුම් ගන්නවා යනවා ද
ඔවුන් අද රෑ කතන්දර කියවනවාද,ඔවුන් අද රෑ කතන්දරකියනවා ද
ඔබ කැමරාවකින් ඡායාරූප ගන්නවාද,ඔබ කැමරාව ඡායාරූප ගන්නවා ද
අපි මේ සති අන්තයේ උද්‍යානයට යනවද,අපි මේ සතිඅන්තය උද්‍යානය යනවා ද
ඔහු දැන් මේසය අලුත්වැඩියා කරනවාද,ඔහු දැන් මේසය අලුත්වැඩියා ද
ඇය වැස්සේ දුවන්නේ නැත,ඇය වැස්ස දුවනවා නෑ
ඔහු දැන් පොතක් කියවන්නේ නැත,ඔහු දැන් පොතබලනවා නෑ
අපි අද පුස්තකාලයට යන්නේ නැහැ,අපි අද පුස්තකාලයට යනවා නෑ
ඔවුන් රාත්‍රියේ බයිසිකල් පදින්නේ නැහැ,ඔවුන් රෑ බයිසිකල් පදිනවා
දැන් සඳ දිලිසෙන්නේ නැත,දැන් සඳ දිලිසෙනවා නෑ
මම දවසට එක පාරක්වත් අත් සෝදන්නේ නැහැ,මම දවස එකපාරක් අත්සෝදනවා නෑ
අපි උදේට සෙල්ලම් කරන්නේ නැහැ,අපි උදේ සෙල්ලම්කරන්වා නෑ
බබා දැන් අත්පුඩි ගහන්නේ නැහැ,බබා දැන් අත්පුඩිගහනවා නෑ
ඔහු අද යතුරුපැදියක් පදවන්නේ නැත,ඔහු අද යතුරුපැදියක පදවනවා නෑ
කුරුල්ලා දැන් පියාඹන්නේ නැහැ,කුරුල්ලා දැන් පියාඹන්නවා නෑ
"ඇය වේගයෙන් දුවන්නේ නම්, ඇය තරඟය ජය ගනී",ඇය වේගයෙන් දුවනවා ඇය තරඟය දිනනවා
"ඔහු දිනපතා කියවන්නේ නම්, ඔහු තවත් ඉගෙන ගනී",ඔහු දිනපතා පොතබලනවා ඔහු තව ඉගෙනගන්නවා
"අපි පුස්තකාලයට ගියොත්, අපට පොත් හම්බ වෙයි",අපි පුස්තකාලය යනවා අප පොත් හම්බවෙනවා
බළලා පැන්නොත් සෙල්ලම් බඩුව අල්ලනවා,බළලා පනිනවා සෙල්ලම් බඩුව අල්ලනවා
"අපි ක්‍රීඩා කළොත්, අපට විනෝදයක් ලැබෙනවා","අපි ක්‍රීඩා කරනවා, අපට විනෝදය හම්බවෙනවා"
"ඇය පලතුරු මිලදී ගත්තොත්, අපි සෞඛ්‍ය සම්පන්නව කනවා",ඇය පලතුරු මිලදීගන්නවා අපි නිරෝගී කනවා
බබා අත්පුඩි ගැහුවොත් අපි හැමෝම හිනා වෙනවා,බබා අත්පුඩිගහනවා අපි හැමෝම හිනාවෙනවා
"අපි ගුවන් විදුලියට සවන් දුන්නොත්, අපට සංගීතය ඇසෙනවා",අපි ගුවන්විදුලිය සවන්දෙනවා අපට සංගීතය අහනවා
"ඔහු බස් රථයක ගියහොත්, ඔහු ඉක්මනින් පැමිණේ",ඔහු බස්රථය යනවා ඔහු ඉක්මනින් එනවා
මම උදේ අවදි උනා,මම උදේ අවදිවෙනවා
අපි ගෙදර ගියා,අපි ගෙදර යනවා
ඔවුන් රූපවාහිනිය බලනවා,ඔවුන් රූපවාහිනිය බලනවා
මම දත් මැද්දා,මම දත්මදිනවා
අපි තේ බිව්වා,අපි තේ බොනවා
මගේ අම්මා කාරුණිකයි,මගේ අම්මා හිත හොද
මම බසයේ පාසලට ගියා,මම බසය පාසල යනවා
මම කාමරය පිරිසිදු කරනවා,මම කාමරය පිරිසිදුකරනවා
ඔහු පොතක් කියවනවා,ඔහු පොත පොතබලනවා
මගේ පෑන නැති උනා,මගේ පෑන නෑ
ඇය හොදින් ගායනය කරනවා,ඇය හොඳ ගායනය කරනවා
මට මගේ යතුර නැති උනා,මට මගේ යතුර නෑ
මගේ ඔලුව රිදෙනවා,මගේ ඔලුව රිදෙනවා
මම ඔහුව බසයේ දී දැක්කා,මම ඔහු බසය දකිනවා
මට මහන්සී,මට මහන්සි
මම යහලුවා සමග කතා කරා,මම යාලුවා සමග කතාකරනවා
මගේ තාත්තා වැඩ කරනවා,මගේ තාත්තා වැඩකරනවා
මට පරක්කුයි,මට පරක්කු
ඔහු පරක්කු වී පැමිනියා,ඔහු පරක්කු එනවා
මම වතුර කෝප්පයක් බිව්වා,මම වතුර කෝප්පය බොනවා
මම ඔබගේ පොත සොයාගත්තා,මම ඔබ පොත සොයාගන්නවා
ඇය කුස්සිය පිරිසිදු කරනවා,ඇය කුස්සිය පිරිසිදුකරනවා
ඇය සින්දු අසනවා,ඇය සින්දු අසනවා
මම විභාගයට පාඩම් කරනවා,මම විභාගය පාඩම්කරනවා
ඇය සතුටින් ඉන්නවා,ඇය සතුට ඉන්නවා
ඇය උදෑසනම තේ හදනවා,ඇය උදෑසන තේ හදනවා
ඔහු සම්පූර්න නිවසම පිරිසිදු කරනවා,ඔහු සම්පූර්න නිවසම පිරිසිදුකරනවා
අපි හැමදාම කතා කරනවා,අපි හැමදාම කතාකරනවා
ඔවුන් මට පසුව දුම්රියෙන් පිටත්වුනා,ඔවුන් මට පස්සේ දුම්රිය පිටත්වුනා
මගේ සහෝදරී හොදින් විභාගයට සූදානම් වෙනවා,මගේ සහෝදරී හොදි විභාගය සූදානම්වෙනවා
ඇයට ඇයගේ පොත හැමදාම අමතක වෙනවා,ඇයට ඇය පොත හැමදාම අමතකවෙනවා
ඔවුන් පුස්තකාලයේදී හමුවුනා,ඔවුන් පුස්තකාලය හමුවෙනවා
මම බසය එනකම් බලාසිටියා,මම බසය එනවා නලනවා ඉන්නවා
ඇය ඇයගේ දිග කොන්ඩය පීරනවා,ඇය ඇය දිග කොන්ඩය පීරනවා
ඔහු සියලුම ප්‍රශ්න වලට පිලිතුරු දෙනවා,ඔහු සියලු ප්‍රශ්න පිලිතුරු දෙනවා
ගුරුතුමිය පාඩම පැහැදිලි කරනවා,ගුරුතුමිය පාඩම උගන්නනවා
ඇය සාදයේදී නටනවා,ඇය පාටිය නටනවා
මම මගේ අම්මා බැලීමට ගමට ගියා,මම මගේ අම්මා බලනවා ගම යනවා
මේ බෑගය මගේ,මේ බෑග් මගේ
අර කොල්ලා මගේ සහෝදරයා,අර කොල්ලා මගේ සහෝදරයා
මේ තේ හරිම රසයි,මේ තේ ගොඩාක් රස
මේ පෑන ලියවෙන්නේ නෑ,මේ පෑන ලියවෙනවා නෑ
මම අර මල් වලට ගොඩාක් කැමතී,මම අර මල් ගොඩාක් කැමති
අර ලමයි එලියේ සෙල්ලම් කරනවා,අර ලමයි එලිය සෙල්ලම්කරනවා
අර ඇදුම් අලුත්,අර ඇදුම් අලුත්
මම මේ පොත ඊයේ ගත්තා,මම මේ පොත ඊයේ ගත්තා
ඔයා ඊයේ කවුද හමුවුනේ?,ඔයා ඊයේ කවුද හමුවෙනවා
ඔයා ඇය කවුද යැයි අදුරනවාද?,ඔයා ඇය කවුද දන්නවා ද
දැන් වේලාව කීයද?,දැන් වේලාව කීයද
ඔයා කවදාද ගෙදර එන්නේ?,ඔයා කවදාද ගෙදර එනවා
ඔයා මගේ සාරිය කොහෙද තිබ්බේ?,ඔයා මගේ සාරිය කොහෙද
ඇ‍යි ඔයා අද පරක්කු?,ඇයි ඔයා අද පරක්කු
ඔයා කොහොමද ඒක ගත්තේ?,ඔයා කොහොමද ඒක ගන්නවා
ඔයාගේ සහෝදරයා කොහෙද?,ඔයා සහෝදරයා කොහෙද
ඇයි ඔයා සිනාසෙන්නේ?,ඇයි ඔයා සිනාසෙනවා
ඔයා කොහොමද මේක දන්නේ?,ඔයා කොහොමද ඒක ගන්නවා
ගස උඩ පූසා සිටිනවා,ගස උඩ පූසා ඉන්නවා
මගේ අම්මා එහේ සිටිනවා.,මගේ අම්මා එහේ ඉන්නවා
ඔයාගේ සහෝදරයා මෙහේ සිටිනවා.,ඔයා සහෝදරයා මෙහේ ඉන්නවා
මේවා කාගේද?,මේවා කාගේද
ඔයා කොහෙද යන්නේ?,ඔයා කොහෙද යනවා
මගේ දුරකතනය කොහෙද?,මගේ දුරකතනය කොහෙද
මගේ ලග මුදල් නෑ.,මගේ ළග මුදල් නෑ
මම උඹට වෛර කරනවා,මම ඔයා කැමති නෑ
මම ඉන්නේ ආදරයෙන්,මම ආදරය ඉන්නවා
මට කණගාටුයි,මට දුක
මට ඉතා කනගාටුයි,මට ගොඩාක් දුක
මම ඔයාගේය,මම ඔයා
නැවත ස්තූතියි,නැවත ස්තූති
ඔයාට කොහොම ද,ඔයාට කොහොමද
මම සනීපෙන්,මම සනේප
පරෙස්සම් වෙන්න,අරක්ශා ඉන්නවා
මට ඔයාව දැනෙනවා,මට ඔයා දැනෙනවා
ඔයා හොඳයි,ඔයා හොඳ
ඒක භයානකයි,ඒක ආරක්ශා නෑ
ඒක හරිම නරකයි,ඒක ගොඩාක් නරක
නැවත හමුවෙන්නම්,නැවත හම්බවෙනවා
ඔයාට ස්තූතියි,ඔයා ස්තූති
ඔයා නිදහස් ද,ඔයා නිදහස්
ප්‍රශ්නයක් නැහැ,ප්‍රශ්න නෑ
ඉක්මනින් සනීප වෙන්න,ඉක්මනින් සනීපවෙනවා
ඉතා හොඳයි,ඉතා හොදයි
හොඳින් කළා,හොඳ
මොකක්ද වෙන්නේ,මොකක්ද
මට ඔයාව ඇහෙන්නේ නැහැ,මට ඔයා ඇහෙනවා නෑ
මට නවතින්න බැහැ,මට නවතිනවා බෑ
මම දන්නවා,මම දන්නවා
හොඳ අදහස,හොඳ අදහස
ඊළඟට කවුද?,ඊලග කවුද
ඇය කවුද?,ඇය කවුද
ඒ මිනිසා කවුද?,ඒ මිනිසා කවුද
එය ගොඩ නැගුවේ කවුද?,එය හදනවා කවුද
ඔවුන් රිදෙනවා,ඔවුන් රිදෙනවා
ඇය කෝපයට පත් විය,ඇය තරහා
ඇය ගුරුවරියක්,ඇය ගුරුතුමිය
ඇය ආකර්ෂණීයයි,ඇය ලස්සන
ඇය ලස්සනයි,ඇය ලස්සන
ඇය අඬනවා,ඇය අඬනවා
ඇය සතුටින්,ඇය සතුට
කොහෙත්ම නැහැ!,නෑ
කරදර නැහැ,කරදර නෑ
මට ඉතා සතුටුයි,මට ගොඩාක් සතුට
මට බඩගිනියි,මට බඩගිනී
මට දුවන්න පුලුවන්,මට දුවනවා පුලුවන්
මම එකඟයි,මම හරි
මට පුලුවන් පීනන්න,මට පුලුවන් පීනනවා
මට එන්න බෑ,නට එනවා බෑ
ඔහු කෝපයට පත් විය,ඔහු තරහා
ඔහු තනිව සිටියේය,ඔහු තනියම ඉන්නවා
ඔහු නිර්භීත විය,ඔහු බය නෑ
ඔහු පිහිනීමට කැමතියි,ඔහු පීනනවා කැමති
තරහ වෙන්න එපා,තරහා එපා
දුක් වෙන්න එපා,දුක එපා
අඬන්න එපා,එපා අඬනවා
ඉදිරියට එන්න,ඉදිරි එනවා
ඔබට එන්න පුලුවන්ද?,ඔබ එනවා පුලුවන් ද
මම උදව් කරන්නද?,මම උදවුකරනවා පුලුවන් ද
මට මේක කන්න පුලුවන්ද?,මට මේ පුලුවන් ද
මට ඔයාට උදව් කළ හැකි ද?,මට ඔයා උදව්කරනවා පුලුවන් ද
මට බැලිය හැකි ද?,මට බලනවා පුලුවන් ද
ඔයා යනවා ද?,ඔයා යනවා ද
ඔයාට බඩගිනි ද?,ඔයා බඩගිනි ද
ඔයාට පිස්සු ද?,ඔයා පිස්සු ද
ඔයා නිදාගන්නවා ද?,ඔයා නිදගන්නවා ද
ඔබට මෙය කරන්න පුලුවන්ද?,ඔයා මේ පුලුවන් ද
ඔයාට මට උදව් කරන්න පුලුවන්ද?,ඔයා මට උදව්කරනවා පුලුවන් ද
ඔයාට මට කියන්න පුලුවන්ද?,ඔයා මට කියනවා පුලුවන් ද
හෙට එන්න,හෙට එනවා
ඉක්මනින් එන්න,ඉක්මනින් එනවා
මට ඔබට උදව් කළ හැකිද?,මට ඔයා උදව්කරනවා පුලුවන් ද
ඔබට මට කියන්න පුලුවන්ද?,ඔයා මට කියනවා පුලුවන් ද
බාධා කරන්න එපා,කරදරකරනවා එපා
ඔබට මාව ඇහෙනවද?,ඔයා මාව ඇහනවා ද
ඔබ දුම්පානය කරනවාද?,ඔයා දුම්පානය
ඔයා කාලා ද?,ඔයා කනවා ද
ඔයා ඉවරයිද?,ඔයා ඉවරයි ද
ඔහුට වේගයෙන් දුවන්න පුලුවන්,ඔහු වේගයෙන් දුවනවා පුලුවන්
ඔහු දුවන්නට පටන් ගත්තේය,ඔහු දුවනවා පටන්ගන්නවා
ඔහු කතා කළේ නැත,ඔහු කතාකරනවා නෑ
ඔහුගේ ඇස් නිල් පාටයි,ඔහු ඇස් නිල්
ඔහුගේ හිනාව හොද,ඔහු හිනාව හොද
ඔබේ ජීවිතය කොහොමද?,ඔයා ජීවිතය කොහොමද
ඔයාගේ පවුල කොහොම ද?,ඔයා පවුල කොහොමද
මම ශිෂ්යයෙක්,මම ශිෂ්යයා
මම පාඩම්කරන්න යනවා,මම පාඩම්කරනවා යනවා
මම ගුරුවරයෙක් නෙවෙයි,මම ගුරුවරයා නෑ
මට ඔයාව විශ්වාස කරනවා,මම ඔයා විශ්වාස
මට මේ වැඩේ පුලුවන්,මට මේක පුලුවන්
මට වේගයෙන් දුවන්න පුලුවන්,මට වේගයෙන් දුවනවා පුලුවන්
මට විශ්වාස කරන්න බැහැ,මට විශ්වාසකරනවා බෑ
එය වෙනවා,ඒක වෙනවා
ඒක අලුත් ය,ඒක අලුත්
ඒක දිග කතාවක්,ඒක දිග කතාව
ඒක කුරුල්ලෙකු මෙන් පෙනේ,ඒක කුරුල්ලා පේනවා
ඇත්තටම කාලය ගත වෙනවා,ඇත්ත කාලය ගතවෙනවා
ඒක ඇත්තෙන්ම ලාභදායී,ඒක ඇත්ත මුදල් අඩු
ඒක එතරම් ඝෝෂාකාරී විය,ඒක ශබ්ද වැඩි
ඒක ඉතා දුෂ්කර විය,ඒක අමාරු
ඒක මිල අධික නොවීය,ඒක මුදල් අඩු
ඒක අවශ්‍ය නොවීය,ඒක ඕන නෑ
මට පරික්ෂා කරන්න දෙන්න,මම කියනවා
මම කියන්නම්,මම කියනවා
මම ඇතුලට එන්නද?,මම ඇතුල එනවා ද
මට ඔයාට උදව් කළ පුලුවන්ද,මට ඔයා උදවුකරනවා පුලුවන් ද
මට ඔබ හා එක් විය පුලුවන්ද,මට ඔබ සමග එකතු පුලුවන් ද
මම කතා කරන්නද?,මම කතාකරනවා ද
මම මේක කන්නද?,මම මේක කරනවා ද
මගේ තාත්තා උසයි,මගේ තාත්තා උස
මගේ නංගිට රස්සාවක් තියෙනවා,මගේ නංගි රස්සා තියෙනවා
මගේ සහෝදරිය හැමෝම දන්නවා,මගේ සහෝදරී හැමෝම දන්නවා
මගේ බිරිඳ වෛද්‍යවරියක්,මගේ බිරිඳ වෛද්‍යවරිය
නෑ මම පස්සේ කන්නම්,නෑ මම පස්සේ කනවා
කරුණාකර ඇතුලට එන්න,
කරුණාකර එය නැවත කරන්න,
කරුණාකර මට දෙන්න,
ඇය ඔහුව අගය කළාය,ඇය ඔහු අගයකරනවා
ඇය මාව මගහරිනවා,ඇය මම මගහරිනවා
ඇය අන්තිමට ආවා,ඇය අන්තිම එනවා
ඇය පාසල් යනවා,ඇය පාසල යනවා
ඒ ගෙදර ලොකුයි,ඒ ගෙදර ලොකු
ඒක හොඳ අදහසක්,ඒක හොද අදහස
ඒ මගේ පොතයි,ඒ මගේ පොත
ඒ මගේ පුතා,ඒ මගේ පුතා
බල්ලා මැරිලා,බල්ලා මැරෙනවා
ගඟ පළලයි,ගඟ පළල
ඔවුන් සෙල්ලම් කරනවා,ඔවුන් සෙල්ලම් කරනවා
ඔවුන් ලස්සනයි,ඔවුන් ලස්සන
ඔවුන් විවාහ වුණා,ඔවුන් විවාහ
ඔවුන් සතුව පොත් කිහිපයක් තිබේ,ඔවුන් ළග පොත් ගොඩාක් තියෙනවා
ඔවුන් කතා කිරීම නැවැත්තුවා,ඔවුන් කතාකරනවා නවත්තනවා
මේ මගේ යාළුවෙක්,මේ මගේ යාලුවා
මේ කුරුල්ලාට පියාඹන්න බැහැ,මේ කුරුල්ලා පියාඹනවා බෑ
මේ මගේ පොත,මේ මගේ පොත
මේ මගේ සහෝදරයා,මේ මගේ සහෝදරයා
මේ මගේ දුව,මේ මගේ දුව
මෙය විහිලුවක් නොවේ,මේක විහිලුව නෑ
මේ කතාව ඇත්ත,මේ කතාව ඇත්ත
අපි සතුටුයි,අපි සතුට
අද වහිනවද?,අද වහිනවා ද
ඔබ ගමනක් යනවද?,ඔයා ගමන් යනවා ද
ඇය එයිද?,ඇය එනවා ද
මාව මරනවද?,මාව මරනවා ද
ඔබ මට ආදරය කරනවාද?,ඔයා මට ආදරය කරනවා ද
ඔබ මෙහෙ එනවාද?,ඔයා මෙහෙ එනවා ද
ඔබ ගුරුවරයෙක්,ඔයා ගුරුවරයා
ඔයා ඉතා ලස්සනයි,ඔයා ගොඩාක් ලස්සනයි
ඔබ ඉතා නිර්භීතයි,ඔයා බය නෑ
ඔබ නීති කඩ කළා,ඔයා නීති කඩනවා
ඔයා මට ආදරෙයි ද,ඔයා මට ආදරය ද
ඔයා මට ආදරේ නැද්ද,ඔයා මට ආදරය නෑ ද
ඔයා මාව සතුටු කළා,ඔයා මම සතුට කරනවා
ඔබට යන්න පුලුවන්,ඔයා යනවා පුලුවන්
ඔබ නිදාගත යුතුයි,ඔයා නිදාගන්නවා
ඔබ වෙහෙස මහන්සි වී ඉගෙන ගත යුතුය,ඔයා මහන්සි ඉගෙනගන්නවා
මේ අදහස කාගේද?,මේ අදහස කාගේද
ඔබගේ සහයට ස්තූතියි,ඔයා උදව් ස්තූති
ආවට ස්තුතියි,එනවා ස්තූති
ඔබට කොහොම ද,ඔයා කොහොමද
ඔයාගේ පවුල කොහොම ද,ඔයා පවුල කොහොමද
කොහොමද කියන්නේ,කොහොමද කියනවා
සුභ නත්තලක්,හොද නත්තල
සුභ නව වසරක්,හොද අලුත් අවුරුද්ද
ඔබව දැකීම සතුටක්,ඔයා දකිනවා සතුට
මම ඒකට කැමති නැහැ,මම ඒක කැමති නෑ
මට අදහසක් නැහැ,මට අදහස නෑ
මම සියල්ලම දන්නවා,මම හැමදේම දන්නවා
මම දෙයක් දන්නවා,මම දන්නවා
ඔයාට බොහෝම ස්තූතියි,ඔයා ගොඩාක් ස්තූති
ඔයාව පසුව හමුවෙන්නම්,ඔයා පස්සේ හම්බවෙනවා
ලබන සතියේ හමුවෙමු,ඊළඟ සතිය හම්බවෙනවා
ලබන වසරේ හමුවෙමු,ඊළඟ වසර හමුවෙනවා
ඔයාව ඉක්මනින් මුණගැසෙන්නම්,ඔයා ඉක්මනින් හමුවෙනවා
ඔයාව හෙට මුණගැසෙන්නම්,ඔයා හෙට හමුවෙනවා
ඔයාව හමුවීම සතුටක්,ඔයා හමුවෙනවා සතුට
මොහොතක් ඉන්න,ඉන්නවා
ඒක හොඳ ගනුදෙනුවක්,ඒක හොඳ ගනුදෙනුව
ඔයා ලස්සනයි,ඔයා ලස්සන
ඔබ ගොඩාක් හොඳයි,ඔබ ගොඩාක් හොඳ
ඔයා හරිම දක්ශයි,ඔයා ගොඩාක් දක්ශ
සතිඅන්තයේ නිවාඩුවට ඔවුන් ගමේ ගියා.,සතිඅන්තය නිවාඩු ඔවුන් ගම යනවා
ගමේ ගෙදර ආච්චි සීයාත් හරිම ආසාවෙන් බලාගෙන ඉන්නේ ඔවුන් මහ ගෙදර එනකන්.,ගම ගෙදර ආච්චී සීයා ගොඩාක් ආසාව බලනවා ඉන්නවා ඔවුන් මහා ගෙදර එනවා
තාත්තා මේ ගමන කවදාවත් වරද්දන්නේ නෑ.,තාත්තා මේ ගමන කවදාවත් වරද්දනවා නෑ
තාත්තා හැමදාම කියන්නේ මොන වැඩ තිබුණත් අඩු ගණනේ මාසෙකට සැරයක්වත් ගමේ ගිහින් එන්න ඕනේ කියලා.,තාත්තා හැමදාම කියනවා මොන වැඩ තිබුනත් අඩු ගණන මාසය සැරයක් ගම යනවා එන්න ඕනා
මාත් අම්මා තාත්තා දෙන්නම හොඳට බලා ගන්නවා.,මම අම්මා තාත්තා දෙන්නා හොඳ බලාගන්නවා
මගේ මව්පියන් ආච්චිටයි සීයාටයි සලකනවා දැක්කහම මට එහෙම හිතුණා.,මගේ මවුපියන් ආච්චී සීයා සලකනවා දකිනවා මට හිතුනා
එහේ ගියාම ඒ දෙන්නට හරිම සතුටුයි.,එහේ යනවා ඒ දෙන්නා ගොඩාක් සතුට
මමයි නංගියි ළඟට අරගෙන ආච්චී සීයායි ලස්සන කතන්දර කියලා දෙනවා.,මම නංගි ළඟ අරගෙන ආච්චී සීයා ලස්සන කතන්දර කියනවා
අමුතු ප්‍රශ්න අහනවා,අමුතු ප්‍රශ්න අහනවා
මගේ පුතාගේ අතේ ඇඟිලි කීයද?,මගේ පුතා අත ඇඟිලි කීයද
පහයි සීයේ.,පහ සීයේ
මොනවාද ඒවායේ නම්?,මොනවාද ඒවා නම
මේ තමා සියයේ මහපටැඟිල්ල,මේ මහපටැඟිල්ල
මේ දබරැඟිල්ල,මේ දබරැඟිල්ල
මේ මැදගිල්ල.,මේ මැදගිල්ල
මේ වෙදඇඟිල්ල,මේ වෙදඇඟිල්ල
මේ පුංචි එක්කෙනා තමයි සුලඟිල්ල,මේ පොඩි එක සුලඟිල්ල
බොහොම හොඳයි,ගොඩක් හොඳයි
දැන් කියමුකෝ බලන්න ඔය ඇඟිලි පහෙන් ලොක්කා කවුද කියල.,දැන් කියනවා බලනවා ඔය ඇඟිලි පහ ලොකු කවුද
නංගි චුට්ටක් කල්පනා කරා ඇඟිලි පහ දිහා බැලුවා.,නංගි පොඩි කල්පනා කරනවා ඇගිලි පහ බලනවා
නංගි උත්තර දුන්නා මැද ඇඟිල්ල තමා ලොක්කා.,නංගී පිළිතුරු දෙනවා මැද ඇඟිල්ල ලොකු
නෑ එයා උසින් මහතා වැඩිවුණාට ලොක්කා නෙවේ.,නෑ එයා උස මහත වැඩි ලොකු නෑ
මම කියන්නද මිනිස්සු මොනවාට හරිම දික් කරන්නේ දබරැඟිල්ල,නෑ මම කියනවා මිනිස්සු මොනවා ගොඩාක් දිග දබරැඟිල්ල
දබරගිල්ල තමා ලොක්කා මම කිව්වා.,දබරැඟිල්ල ලොකු මම කියනවා
ඔන්න මෙයයි ලොක්කා පෙන්නුවේ මහපට ඇඟිල්ල.,ඔන්න මෙයා ලොකු පෙන්නනවා මහපට ඇඟිල්ල
ඒ කොහොමද සීයේ?,ඒ කොහොමද සීයා
මහපට ඇඟිල්ල ඇඟිලි පහෙන් කොටම ඇඟිල්ලනෙ.,මහපට ඇඟිල්ල ඇගිලි පහ කොට ඇඟිල්ල
හොඳයි අපි මෙහෙම කියමුකෝ.,හොඳ අපි මෙහෙම කියනවා
